INFO	2021-11-16 14:52:51,692	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:52:51,735	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:52:52,746	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:52:55,071	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:52:55,140	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:52:56,242	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:52:56,325	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:52:57,327	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:52:57,557	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:52:58,691	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:53:01,752	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:53:01,807	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:53:01,860	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:53:01,916	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:53:01,966	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:53:02,039	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:53:04,098	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
