INFO	2021-11-16 14:50:43,461	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:50:43,511	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:50:44,523	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:50:46,564	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:50:47,231	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:50:48,352	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:50:48,439	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:50:49,452	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:50:49,583	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:50:50,647	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:50:53,716	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:50:53,797	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:50:53,864	[basepage.py:82]	输入文本：12
INFO	2021-11-16 14:50:53,939	[basepage.py:82]	输入文本：1000
INFO	2021-11-16 14:50:54,009	[basepage.py:82]	输入文本：568
INFO	2021-11-16 14:50:54,108	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:50:56,149	[basepage.py:211]	获取到text==》['您输入的信用卡无效。', '您输入的期限年份无效。']
