INFO	2021-11-11 17:18:07,603	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:18:07,647	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:18:08,659	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:18:10,052	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:18:11,158	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:18:11,241	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:18:12,249	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:18:12,366	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:18:13,418	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:18:16,495	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:16,550	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:16,612	[basepage.py:82]	输入文本：24
INFO	2021-11-11 17:18:16,665	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:16,732	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:18:16,797	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:18:18,854	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。']
