INFO	2021-11-11 17:15:35,389	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:15:35,430	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:15:36,444	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:15:38,889	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:15:39,992	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:15:40,068	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:15:41,070	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:15:41,705	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:15:42,762	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:15:45,843	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:15:45,908	[basepage.py:82]	输入文本：李
INFO	2021-11-11 17:15:45,980	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:15:46,066	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:15:46,134	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:15:46,206	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:15:48,265	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
