INFO	2021-11-11 17:20:06,579	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:20:06,635	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:20:07,649	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:20:17,416	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:20:18,526	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:20:18,620	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:20:19,633	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:20:19,760	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:20:20,826	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:20:24,005	[basepage.py:82]	输入文本：62122 62502 00918 2455
INFO	2021-11-11 17:20:24,078	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:20:24,143	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:20:24,236	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:20:24,321	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:20:24,413	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:20:30,474	[basepage.py:96]	获取到文本：本次付款被您的银行拒绝。请重试，或使用另外的支付方式。联系您的银行以获取进一步的信息。
