INFO	2021-11-11 17:18:43,393	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:18:43,447	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:18:44,462	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:18:45,629	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:18:46,722	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:18:46,801	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:18:47,816	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:18:47,949	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:18:49,005	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:18:52,147	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-11 17:18:52,218	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:18:52,296	[basepage.py:82]	输入文本：12
INFO	2021-11-11 17:18:52,367	[basepage.py:82]	输入文本：1000
INFO	2021-11-11 17:18:52,432	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:18:52,500	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:18:54,555	[basepage.py:211]	获取到text==》['您输入的期限年份无效。']
