INFO	2021-11-16 14:52:26,789	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:52:26,841	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:52:27,848	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:52:29,892	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:52:30,141	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:52:31,261	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:52:31,349	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:52:32,356	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:52:32,471	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:52:33,525	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:52:36,601	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:52:36,657	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:52:36,711	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:52:36,783	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:52:36,846	[basepage.py:82]	输入文本：56
INFO	2021-11-16 14:52:36,915	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:52:38,985	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的 CVV 无效。']
