INFO	2021-11-16 14:51:40,164	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:51:40,228	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:51:41,228	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:51:42,802	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:51:43,058	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:51:44,161	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:51:44,235	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:51:45,241	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:51:45,360	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:51:46,422	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2021-11-16 14:51:47,488	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:51:47,544	[basepage.py:90]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:51:48,569	[basepage.py:96]	获取到文本：优惠码不能为空。
