INFO	2021-11-16 14:50:43,660	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:50:43,743	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:50:44,756	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:50:48,956	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:50:49,025	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:50:50,135	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:50:50,222	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:50:51,227	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:50:51,365	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:50:52,442	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div> div > div >div:nth-child(3)>div>div:nth-child(2)>button')
INFO	2021-11-16 14:50:56,180	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div:nth-child(2)>div>div>div:nth-child(2)>div>button:nth-child(3)')
