INFO	2021-11-11 17:19:22,825	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:19:22,868	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:19:23,882	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:19:25,172	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:26,267	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:26,342	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:27,348	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:28,009	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:19:29,070	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:19:32,148	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:32,218	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:19:32,289	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:19:32,371	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:19:32,431	[basepage.py:82]	输入文本：56
INFO	2021-11-11 17:19:32,552	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:19:34,602	[basepage.py:211]	获取到text==》['您输入的信用卡无效。', '您输入的 CVV 无效。']
