INFO	2021-11-11 17:17:43,365	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:17:43,414	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:17:44,418	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:17:46,837	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:17:47,945	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:17:48,030	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:17:49,042	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:17:49,615	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:17:50,676	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:17:53,765	[basepage.py:82]	输入文本：12347
INFO	2021-11-11 17:17:53,842	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:17:53,908	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:17:53,987	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:17:54,059	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:17:54,136	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:17:56,196	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
