INFO	2021-11-11 17:18:58,159	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:18:58,224	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:18:59,226	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:19:13,673	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:14,783	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:14,866	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:15,878	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:16,016	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:19:17,090	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:19:20,240	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-11 17:19:20,306	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:19:20,371	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:19:20,441	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:19:20,512	[basepage.py:82]	输入文本：56
INFO	2021-11-11 17:19:20,573	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:19:22,612	[basepage.py:211]	获取到text==》['您输入的 CVV 无效。']
