INFO	2021-11-11 17:18:51,515	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:18:51,560	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:18:52,575	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:19:02,153	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:03,260	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:03,337	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:04,352	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:04,490	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:19:05,554	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:19:08,626	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:08,694	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:08,761	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:19:08,862	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:19:08,926	[basepage.py:82]	输入文本：56
INFO	2021-11-11 17:19:09,012	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:19:11,056	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的 CVV 无效。']
