INFO	2021-11-16 14:51:21,247	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:51:21,284	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:51:22,287	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:51:24,013	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:51:24,241	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:51:25,397	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:51:25,471	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:51:26,486	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:51:26,599	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:51:27,720	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2021-11-16 14:51:28,795	[basepage.py:82]	输入文本：1111
INFO	2021-11-16 14:51:28,861	[basepage.py:90]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:51:29,892	[basepage.py:96]	获取到文本：您需要输入一个有效优惠码。
