INFO	2021-11-16 14:53:07,575	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:53:07,619	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:53:08,629	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:53:12,179	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:53:12,259	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:53:13,356	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:53:13,431	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:53:14,436	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:53:14,563	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:53:15,674	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:53:18,831	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 14:53:18,893	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:53:18,954	[basepage.py:82]	输入文本：24
INFO	2021-11-16 14:53:19,018	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:53:19,075	[basepage.py:82]	输入文本：568
INFO	2021-11-16 14:53:19,147	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:53:21,184	[basepage.py:211]	获取到text==》['您输入的期限月份无效。']
