INFO	2021-11-16 15:39:21,971	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:39:22,013	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:39:23,025	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:39:27,788	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:39:27,958	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:39:28,035	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:39:29,046	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:39:29,166	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:39:30,250	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:39:33,323	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:33,374	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:33,424	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:33,474	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:33,526	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:33,593	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:39:35,650	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
