INFO	2021-11-16 15:38:26,879	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:38:26,924	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:38:27,933	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:38:31,594	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:38:31,771	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:38:31,891	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:38:32,897	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:38:33,597	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:38:34,678	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:38:37,765	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:38:37,841	[basepage.py:82]	输入文本：李
INFO	2021-11-16 15:38:37,910	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:38:37,986	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:38:38,051	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:38:38,134	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:38:40,177	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
