INFO	2021-11-16 15:38:13,023	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:38:13,064	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:38:14,066	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:38:18,711	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:38:18,864	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:38:18,948	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:38:19,957	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:38:20,083	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:38:21,160	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:38:24,317	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 15:38:24,376	[basepage.py:82]	输入文本：李
INFO	2021-11-16 15:38:24,434	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:38:24,498	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:38:24,561	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:38:24,618	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:38:26,650	[basepage.py:211]	获取到text==》['您输入的名称无效。']
