INFO	2021-11-16 15:39:25,698	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:39:25,749	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:39:26,753	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:39:46,286	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:39:46,516	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:39:46,609	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:39:47,610	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:39:47,743	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:39:48,796	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:39:51,878	[basepage.py:82]	输入文本：12349
INFO	2021-11-16 15:39:51,941	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:51,996	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:52,050	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:52,114	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:52,194	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:39:54,276	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
