INFO	2021-11-16 14:50:30,554	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:50:30,605	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:50:31,606	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:50:33,397	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:50:33,712	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:50:34,811	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:50:34,896	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:50:35,904	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:50:36,047	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:50:37,717	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:50:40,873	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 14:50:40,942	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:50:41,003	[basepage.py:82]	输入文本：12
INFO	2021-11-16 14:50:41,067	[basepage.py:82]	输入文本：1000
INFO	2021-11-16 14:50:41,129	[basepage.py:82]	输入文本：568
INFO	2021-11-16 14:50:41,195	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:50:43,239	[basepage.py:211]	获取到text==》['您输入的期限年份无效。']
