INFO	2021-11-11 17:19:48,803	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:19:48,847	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:19:49,862	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:19:57,444	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:58,558	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:58,634	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:59,641	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:59,793	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:20:00,861	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:20:03,933	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:20:03,989	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:20:04,044	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:20:04,105	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:20:04,161	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:20:04,264	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:20:06,340	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
