INFO	2021-11-16 14:51:36,847	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:51:36,905	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:51:37,914	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:51:42,426	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:51:42,492	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:51:43,604	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:51:43,682	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:51:44,696	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:51:44,807	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:51:46,014	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:51:49,148	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 14:51:49,206	[basepage.py:82]	输入文本：李
INFO	2021-11-16 14:51:49,262	[basepage.py:82]	输入文本：2
INFO	2021-11-16 14:51:49,330	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:51:49,396	[basepage.py:82]	输入文本：568
INFO	2021-11-16 14:51:49,467	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:51:51,495	[basepage.py:211]	获取到text==》['您输入的名称无效。']
