INFO	2021-11-16 14:55:57,602	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:55:57,667	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 14:55:58,671	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 14:56:03,034	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:56:04,136	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:56:04,220	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:56:05,231	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:56:05,353	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:56:06,419	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:56:09,486	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:56:09,546	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:56:09,599	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:56:09,655	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:56:09,705	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:56:09,788	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:56:11,858	[basepage.py:211]	获取到text==》['The name you entered is not valid.', 'The credit card you entered is not valid.', 'The expiry month you entered is not valid.', 'The expiry year you entered is not valid.', 'The CVV you entered is not valid.']
