INFO	2021-11-16 15:42:56,451	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:42:56,501	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:42:57,512	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:42:59,302	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:42:59,510	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:42:59,598	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:43:00,600	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:43:00,723	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:43:02,376	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:43:05,531	[basepage.py:82]	输入文本：62122 62502 00918 2455
INFO	2021-11-16 15:43:05,593	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 15:43:05,649	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:43:05,712	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:43:05,788	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:43:05,858	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:43:07,892	[basepage.py:96]	获取到文本：本次付款被您的银行拒绝。请重试，或使用另外的支付方式。联系您的银行以获取进一步的信息。
