INFO	2021-11-11 17:18:30,656	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:18:30,700	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:18:31,708	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:18:33,772	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:18:34,920	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:18:35,029	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:18:36,030	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:18:36,162	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:18:37,216	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:18:40,281	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:40,347	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:40,404	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:40,469	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:40,522	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:40,596	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:18:42,669	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
