INFO	2021-11-16 15:40:28,934	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:40:28,980	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:40:29,981	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:40:32,989	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:40:33,179	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:40:33,268	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:40:34,281	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:40:34,398	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:40:35,445	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:40:38,505	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:38,571	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:38,641	[basepage.py:82]	输入文本：24
INFO	2021-11-16 15:40:38,694	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:38,747	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:38,825	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:40:40,897	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
