INFO	2021-11-16 15:42:58,208	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:42:58,274	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:42:59,288	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:43:02,266	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:43:02,451	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:43:02,534	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:43:03,543	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:43:03,678	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:43:05,541	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:43:08,604	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:43:08,666	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:43:08,724	[basepage.py:82]	输入文本：24
INFO	2021-11-16 15:43:08,798	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:43:08,868	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:43:08,943	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:43:10,996	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
