INFO	2021-11-11 17:17:16,740	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:17:16,790	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:17:17,805	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:17:20,845	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:17:21,947	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:17:22,023	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:17:23,029	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:17:23,170	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:17:24,734	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:17:27,847	[basepage.py:82]	输入文本：12345
INFO	2021-11-11 17:17:27,914	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:17:27,969	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:17:28,035	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:17:28,095	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:17:28,153	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:17:30,192	[basepage.py:211]	获取到text==》['您输入的信用卡无效。']
