INFO	2021-11-16 15:41:19,399	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:41:19,469	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:41:20,473	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:41:23,553	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:41:23,707	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:41:23,784	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:41:24,794	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:41:24,950	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:41:26,021	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:41:29,093	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:41:29,151	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:41:29,214	[basepage.py:82]	输入文本：12
INFO	2021-11-16 15:41:29,291	[basepage.py:82]	输入文本：1000
INFO	2021-11-16 15:41:29,356	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:41:29,424	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:41:31,493	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限年份无效。']
