INFO	2021-11-16 14:50:22,919	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:50:22,963	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:50:23,977	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:50:25,753	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:50:25,828	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:50:26,925	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:50:27,002	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:50:28,005	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:50:28,150	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:50:29,203	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:50:32,268	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button')
