INFO	2021-11-16 15:42:33,441	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:42:33,485	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:42:34,496	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:42:36,564	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:42:36,751	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:42:36,830	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:42:37,833	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:42:37,954	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:42:39,956	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:42:43,030	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:42:43,085	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:42:43,144	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:42:43,212	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:42:43,301	[basepage.py:82]	输入文本：56
INFO	2021-11-16 15:42:43,410	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:42:45,479	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
