INFO	2021-11-16 14:56:14,057	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:56:14,100	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 14:56:15,112	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 14:56:22,069	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:56:23,180	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:56:23,253	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:56:24,267	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:56:24,400	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:56:25,520	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:56:28,677	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 14:56:28,739	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:56:28,795	[basepage.py:82]	输入文本：2
INFO	2021-11-16 14:56:28,864	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:56:28,932	[basepage.py:82]	输入文本：56
INFO	2021-11-16 14:56:29,006	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:56:31,031	[basepage.py:211]	获取到text==》['The CVV you entered is not valid.']
