INFO	2021-11-11 17:19:44,498	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:19:44,543	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:19:45,553	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:19:47,198	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:48,303	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:48,376	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:49,384	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:49,504	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:19:50,560	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:19:53,705	[basepage.py:82]	输入文本：62284 80088 14184 8874
INFO	2021-11-11 17:19:53,767	[basepage.py:82]	输入文本：lin
INFO	2021-11-11 17:19:53,824	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:19:53,898	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:19:53,960	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:19:54,027	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:19:58,595	[basepage.py:96]	获取到文本：本次付款被您的银行拒绝。请重试，或使用另外的支付方式。联系您的银行以获取进一步的信息。
