INFO	2021-11-16 15:41:00,395	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:41:00,448	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:41:01,456	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:41:04,231	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:41:04,386	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:41:04,487	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:41:05,502	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:41:05,618	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:41:06,702	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:41:09,773	[basepage.py:82]	输入文本：12346
INFO	2021-11-16 15:41:09,841	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:41:09,916	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:41:09,994	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:41:10,075	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:41:10,159	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:41:12,192	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
