INFO	2021-11-11 17:13:16,694	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:13:16,736	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:13:17,740	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:13:21,586	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:13:22,692	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:13:22,774	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:13:23,780	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:13:23,977	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:13:25,063	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2021-11-11 17:13:26,140	[basepage.py:82]	输入文本：testnewpmm
INFO	2021-11-11 17:13:26,200	[basepage.py:90]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:13:27,284	[basepage.py:90]	点击元素：('css', '#root > div > div> div > div:nth-child(2) > div > div > div > div > span:nth-child(3)>div:nth-child(2)>div>div:nth-child(3)>div')
INFO	2021-11-11 17:13:28,306	[basepage.py:96]	获取到文本：US$9.95
