INFO	2021-11-11 17:15:22,461	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:15:22,504	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:15:23,517	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:15:25,724	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:15:26,828	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:15:26,907	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:15:27,909	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:15:28,047	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:15:29,103	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:15:32,265	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-11 17:15:32,332	[basepage.py:82]	输入文本：李
INFO	2021-11-11 17:15:32,389	[basepage.py:82]	输入文本：2
INFO	2021-11-11 17:15:32,452	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:15:32,515	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:15:32,591	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:15:34,633	[basepage.py:211]	获取到text==》['您输入的名称无效。']
