INFO	2021-11-16 15:41:17,465	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:41:17,505	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:41:18,513	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:41:22,177	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:41:22,329	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:41:22,423	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:41:23,430	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:41:23,548	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:41:24,616	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:41:27,805	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 15:41:27,874	[basepage.py:82]	输入文本：李
INFO	2021-11-16 15:41:27,934	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:41:28,011	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:41:28,075	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:41:28,135	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:41:30,185	[basepage.py:211]	获取到text==》['您输入的名称无效。']
