INFO	2021-11-16 15:40:32,101	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:40:32,143	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:40:33,148	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:40:34,688	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:40:34,842	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:40:34,917	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:40:35,928	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:40:36,053	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:40:37,112	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2021-11-16 15:40:38,195	[basepage.py:82]	输入文本：testnewpmm
INFO	2021-11-16 15:40:38,257	[basepage.py:90]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:40:39,324	[basepage.py:90]	点击元素：('css', '#root > div > div> div > div:nth-child(2) > div > div > div > div > span:nth-child(3)>div:nth-child(2)>div>div:nth-child(3)>div')
INFO	2021-11-16 15:40:40,355	[basepage.py:96]	获取到文本：US$19.95
