INFO	2021-11-16 15:43:04,651	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:43:04,696	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:43:05,707	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:43:08,802	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:43:08,970	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:43:09,043	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:43:10,048	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:43:10,162	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:43:11,743	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:43:14,824	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:43:14,878	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:43:14,935	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:43:15,007	[basepage.py:82]	输入文本：1000
INFO	2021-11-16 15:43:15,078	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:43:15,146	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:43:17,244	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。']
