INFO	2021-11-11 17:15:48,498	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:15:48,547	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:15:49,549	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:15:51,347	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:15:52,448	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:15:52,538	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:15:53,544	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:15:53,671	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:15:54,725	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:15:57,788	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:15:57,844	[basepage.py:82]	输入文本：李
INFO	2021-11-11 17:15:57,918	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:15:58,010	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:15:58,074	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:15:58,145	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:16:00,187	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
