INFO	2021-11-16 15:40:41,555	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:40:41,596	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:40:42,600	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:40:44,224	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:40:44,389	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:40:44,466	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:40:45,468	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:40:46,190	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:40:47,250	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:40:50,315	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:50,371	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:50,429	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:50,482	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:50,548	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:40:50,624	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:40:52,703	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
