INFO	2021-11-16 15:41:45,720	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:41:45,771	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:41:46,784	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:41:48,554	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:41:48,728	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:41:48,822	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:41:49,830	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:41:49,948	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:41:51,003	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:41:54,160	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 15:41:54,227	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 15:41:54,286	[basepage.py:82]	输入文本：2
INFO	2021-11-16 15:41:54,356	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 15:41:54,428	[basepage.py:82]	输入文本：56
INFO	2021-11-16 15:41:54,493	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:41:56,535	[basepage.py:211]	获取到text==》['您输入的 CVV 无效。']
