INFO	2021-11-16 14:52:02,229	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:52:02,275	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:52:03,276	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:52:04,302	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:52:04,464	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:52:05,572	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:52:05,647	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:52:06,660	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:52:06,788	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:52:07,841	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:52:10,908	[basepage.py:82]	输入文本：
INFO	2021-11-16 14:52:10,970	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:52:11,025	[basepage.py:82]	输入文本：2
INFO	2021-11-16 14:52:11,091	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:52:11,146	[basepage.py:82]	输入文本：56
INFO	2021-11-16 14:52:11,209	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:52:13,251	[basepage.py:211]	获取到text==》['您输入的信用卡无效。', '您输入的 CVV 无效。']
