INFO	2021-11-11 17:19:31,866	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:19:31,913	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:19:32,914	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:19:39,370	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:19:40,480	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:19:40,563	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:19:41,563	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:19:41,712	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:19:42,780	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:19:45,842	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:45,898	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:45,961	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:46,017	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:19:46,084	[basepage.py:82]	输入文本：56
INFO	2021-11-11 17:19:46,187	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:19:48,247	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
