INFO	2021-11-16 14:51:48,936	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 14:51:48,981	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 14:51:49,991	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 14:51:52,257	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 14:51:52,321	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-16 14:51:53,444	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 14:51:53,537	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 14:51:54,544	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 14:51:54,673	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 14:51:56,478	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 14:51:59,641	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-16 14:51:59,718	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 14:51:59,773	[basepage.py:82]	输入文本：2
INFO	2021-11-16 14:51:59,840	[basepage.py:82]	输入文本：2022
INFO	2021-11-16 14:51:59,903	[basepage.py:82]	输入文本：56
INFO	2021-11-16 14:51:59,967	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 14:52:02,007	[basepage.py:211]	获取到text==》['您输入的 CVV 无效。']
