INFO	2021-11-16 15:39:41,505	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:39:41,549	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-16 15:39:42,556	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-16 15:39:44,258	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:39:44,424	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:39:44,496	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:39:45,504	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:39:45,612	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:39:46,703	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:39:49,762	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:49,813	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:49,863	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:49,916	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:49,976	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:39:50,049	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:39:52,117	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
