INFO	2021-11-11 17:15:50,915	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:15:50,962	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-11 17:15:51,963	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-11 17:15:57,953	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:15:59,074	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:15:59,160	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:16:00,165	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:16:00,318	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:16:01,368	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:16:04,429	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:16:04,483	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:16:04,536	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:16:04,590	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:16:04,646	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:16:04,753	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:16:06,831	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
