"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Store页面测试","Store主页内容测试","0","2","115","1","0"
"","首页测试","body内容测试","0","1","20","1","0"
"","FAQ页面测试","各个模块常见问题测试","0","7","35","0","0"
"","学生优惠申请页面测试","功能测试","0","4","2","4","0"
"","网址地图页面测试","功能测试","0","64","0","0","0"
"","PowerMyMac下拉栏中页面测试","browser-cleanup页面内容测试","0","0","17","0","0"
"","PowerMyMac下拉栏中页面测试","pmm页面内容测试","0","2","16","0","0"
"","首页测试","底部超链接测试","0","0","36","0","0"
"","邮箱咨询页面测试","功能测试","0","4","0","0","0"
"","文章搜索页面测试","文章搜索页面功能测试","0","30","0","1","0"
"","VideoConverter页面测试","Video-tech页面内容测试","0","0","10","0","0"
"","Support页面测试","链接页面内容测试","0","18","0","0","0"
"","协议内容测试","文章测试","0","8","3","0","0"
"","PowerMyMac下拉栏中页面测试","similar-image页面内容测试","0","0","17","0","0"
"","网址地图页面测试","关于我们功能测试","0","4","0","0","0"
"","Store页面测试","套餐购买页面内容测试","0","10","0","0","0"
"","VideoConverter页面测试","VideoConverter主页内容测试","0","0","25","0","0"
"","VideoConverter页面测试","Video-guide页面内容测试","0","0","10","0","0"
"","PowerMyMac下拉栏中页面测试","mac-cleaner页面内容测试","0","2","14","0","0"
"","首页测试","导航栏测试","0","0","17","0","0"
"","PowerMyMac下拉栏中页面测试","mac-uninstaller页面内容测试","0","0","17","0","0"
"","pdf-compressor页面测试","pdf-compressor页面内容测试","0","0","2","0","0"
"","PowerMyMac下拉栏中页面测试","duplicate-finde页面内容测试","0","0","17","0","0"
