INFO	2022-06-08 10:11:58,472	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:11:58,536	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:11:59,048	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:12:00,775	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:12:01,161	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:12:03,266	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:12:03,780	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:12:04,225	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:12:05,102	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:12:07,942	[basepage.py:81]	输入文本：12348
INFO	2022-06-08 10:12:08,237	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:12:08,502	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:12:08,769	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:12:09,173	[basepage.py:81]	输入文本：569
INFO	2022-06-08 10:12:09,356	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:12:10,414	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。']
INFO	2022-06-08 10:12:10,414	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。您输入的期限年份无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。您输入的期限年份无效。, 断言方法：eq, 断言结果：True
