INFO	2022-06-08 10:10:55,881	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:10:55,960	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:10:56,470	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:10:57,945	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:10:58,283	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:00,372	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:00,881	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:01,214	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:02,108	[basepage.py:96]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2022-06-08 10:11:02,913	[basepage.py:81]	输入文本：testnewpmm
INFO	2022-06-08 10:11:02,997	[basepage.py:96]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2022-06-08 10:11:03,996	[basepage.py:71]	获取到文本：US$0.00
INFO	2022-06-08 10:11:03,997	[basepage.py:329]	预期结果: 0.00,实际结果: 0.00, 断言方法：eq, 断言结果：True
