INFO	2021-11-23 17:48:40,500	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:48:40,500	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:48:40,500	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:48:41,635	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:48:42,648	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:48:42,889	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:48:43,818	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:48:43,901	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:48:44,911	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:48:45,112	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:48:46,241	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:48:49,350	[basepage.py:82]	输入文本：12348
INFO	2021-11-23 17:48:49,424	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:48:49,491	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:48:49,562	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:48:49,650	[basepage.py:82]	输入文本：569
INFO	2021-11-23 17:48:49,764	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:48:50,811	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。']
