INFO	2022-06-08 10:12:48,910	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:12:49,016	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:12:49,517	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:12:50,989	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:12:51,699	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:12:53,811	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:12:54,327	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:12:54,810	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:12:55,749	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:12:58,545	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:12:58,824	[basepage.py:81]	输入文本：李
INFO	2022-06-08 10:12:59,105	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:12:59,402	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:12:59,682	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:12:59,740	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:13:00,780	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
INFO	2022-06-08 10:13:00,781	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。, 断言方法：eq, 断言结果：True
