INFO	2022-06-08 10:16:40,489	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:16:40,559	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:16:41,069	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:16:43,165	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:16:43,571	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:16:45,669	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:16:46,180	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:16:46,594	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:16:47,353	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:16:50,371	[basepage.py:81]	输入文本：62122 62502 00918 2455
INFO	2022-06-08 10:16:50,664	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:16:50,940	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:16:51,254	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:16:51,569	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:16:51,633	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:16:52,662	[basepage.py:71]	获取到文本：本次付款被您的银行拒绝。请重试，或使用另外的支付方式。联系您的银行以获取进一步的信息。
INFO	2022-06-08 10:16:52,663	[basepage.py:342]	子集: 银行,父集: 本次付款被您的银行拒绝。请重试，或使用另外的支付方式。联系您的银行以获取进一步的信息。, 断言方法：include, 断言结果：True
