INFO	2021-11-23 17:50:18,942	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:50:18,943	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:50:18,943	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:50:20,031	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:50:21,038	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:50:21,275	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:50:22,146	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:50:22,258	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:50:23,264	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:50:23,417	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:50:25,220	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:50:28,402	[basepage.py:82]	输入文本：:62122 62502 00918 2455
INFO	2021-11-23 17:50:28,472	[basepage.py:82]	输入文本：lin
INFO	2021-11-23 17:50:28,534	[basepage.py:82]	输入文本：24
INFO	2021-11-23 17:50:28,597	[basepage.py:82]	输入文本：2022
INFO	2021-11-23 17:50:28,659	[basepage.py:82]	输入文本：568
INFO	2021-11-23 17:50:28,724	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:50:29,758	[basepage.py:211]	获取到text==》['您输入的期限月份无效。']
