INFO	2022-06-08 10:15:51,403	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:15:51,470	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:15:51,972	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:15:53,573	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:15:53,915	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:15:56,014	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:15:56,520	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:15:57,015	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:15:57,970	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:16:00,797	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:16:01,092	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:16:01,388	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:16:01,703	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:16:02,012	[basepage.py:81]	输入文本：56
INFO	2022-06-08 10:16:02,079	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:16:03,113	[basepage.py:257]	获取到text==》['您输入的信用卡无效。', '您输入的 CVV 无效。']
INFO	2022-06-08 10:16:03,114	[basepage.py:329]	预期结果: 您输入的信用卡无效。您输入的 CVV 无效。,实际结果: 您输入的信用卡无效。您输入的 CVV 无效。, 断言方法：eq, 断言结果：True
