INFO	2022-06-08 10:15:39,140	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:15:39,253	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:15:39,760	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:15:41,391	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:15:41,731	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:15:43,846	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:15:44,359	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:15:44,836	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:15:45,581	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:15:48,580	[basepage.py:81]	输入文本：:62122 62502 00918 2455
INFO	2022-06-08 10:15:48,860	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:15:49,138	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:15:49,483	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:15:49,765	[basepage.py:81]	输入文本：56
INFO	2022-06-08 10:15:49,840	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:15:50,870	[basepage.py:257]	获取到text==》['您输入的 CVV 无效。']
INFO	2022-06-08 10:15:50,871	[basepage.py:329]	预期结果: 您输入的 CVV 无效。,实际结果: 您输入的 CVV 无效。, 断言方法：eq, 断言结果：True
