INFO	2022-06-08 10:11:33,594	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:11:33,663	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:11:34,169	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:11:36,011	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:11:36,367	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:38,472	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:38,977	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:39,366	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:40,316	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:11:43,324	[basepage.py:81]	输入文本：:62122 62502 00918 2455
INFO	2022-06-08 10:11:43,649	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:11:43,946	[basepage.py:81]	输入文本：24
INFO	2022-06-08 10:11:44,240	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:11:44,534	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:11:44,596	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:11:45,630	[basepage.py:257]	获取到text==》['您输入的期限月份无效。']
INFO	2022-06-08 10:11:45,633	[basepage.py:329]	预期结果: 您输入的期限月份无效。,实际结果: 您输入的期限月份无效。, 断言方法：eq, 断言结果：True
