INFO	2022-06-08 10:10:21,202	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:10:21,268	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:10:21,781	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:10:23,404	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:10:23,778	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:10:25,963	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:10:26,477	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:10:26,895	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:10:27,652	[basepage.py:96]	点击元素：('css', '#root > div > div> div> div:nth-child(2) > div > div > div:nth-child(2)>span>a')
INFO	2022-06-08 10:10:28,432	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:10:28,489	[basepage.py:96]	点击元素：('css', 'form>div:nth-child(2)>div>button')
INFO	2022-06-08 10:10:29,009	[basepage.py:71]	获取到文本：优惠码不能为空。
INFO	2022-06-08 10:10:29,010	[basepage.py:329]	预期结果: 优惠码不能为空。,实际结果: 优惠码不能为空。, 断言方法：eq, 断言结果：True
