INFO	2021-11-23 17:51:51,656	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:51:51,656	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:51:51,656	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:51:52,720	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-23 17:51:53,721	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-23 17:51:54,566	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:51:55,513	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:51:55,613	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:51:56,619	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:51:56,726	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:51:57,781	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:52:00,858	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:52:00,934	[basepage.py:82]	输入文本：李
INFO	2021-11-23 17:52:01,005	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:52:01,060	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:52:01,111	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:52:01,190	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:52:02,256	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
