INFO	2022-06-08 10:12:35,347	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:12:35,404	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:12:35,908	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:12:38,080	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:12:38,417	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:12:40,536	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:12:41,041	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:12:41,342	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:12:42,401	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:12:45,630	[basepage.py:81]	输入文本：:62122 62502 00918 2455
INFO	2022-06-08 10:12:45,923	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:12:46,217	[basepage.py:81]	输入文本：12
INFO	2022-06-08 10:12:46,652	[basepage.py:81]	输入文本：1000
INFO	2022-06-08 10:12:46,950	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:12:47,013	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:12:48,042	[basepage.py:257]	获取到text==》['您输入的期限年份无效。']
INFO	2022-06-08 10:12:48,045	[basepage.py:329]	预期结果: 您输入的期限年份无效。,实际结果: 您输入的期限年份无效。, 断言方法：eq, 断言结果：True
