INFO	2022-06-08 10:11:34,664	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:11:34,728	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:11:35,237	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:11:36,708	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:11:37,064	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:39,189	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:39,692	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:40,188	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:40,987	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:11:43,822	[basepage.py:81]	输入文本：12346
INFO	2022-06-08 10:11:44,084	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:44,349	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:11:44,643	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:11:44,951	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:11:45,016	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:11:46,049	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
INFO	2022-06-08 10:11:46,051	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。, 断言方法：eq, 断言结果：True
