INFO	2022-06-08 10:09:33,033	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:09:33,099	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:09:33,603	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:09:34,897	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:09:35,345	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:09:37,433	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:09:37,943	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:09:38,308	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:09:39,063	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:09:41,888	[basepage.py:81]	输入文本：12346
INFO	2022-06-08 10:09:42,153	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:09:42,420	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:09:42,702	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:09:42,978	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:09:43,038	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:09:44,071	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
INFO	2022-06-08 10:09:44,077	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。, 断言方法：eq, 断言结果：True
