INFO	2022-06-08 10:11:46,219	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:11:46,313	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:11:46,825	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:11:48,498	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:11:48,837	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:50,944	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:51,457	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:51,930	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:52,660	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:11:55,433	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:55,733	[basepage.py:81]	输入文本：lin
INFO	2022-06-08 10:11:56,087	[basepage.py:81]	输入文本：24
INFO	2022-06-08 10:11:56,409	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:11:56,704	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:11:56,771	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:11:57,799	[basepage.py:257]	获取到text==》['您输入的信用卡无效。', '您输入的期限月份无效。']
INFO	2022-06-08 10:11:57,800	[basepage.py:329]	预期结果: 您输入的信用卡无效。您输入的期限月份无效。,实际结果: 您输入的信用卡无效。您输入的期限月份无效。, 断言方法：eq, 断言结果：True
