INFO	2022-06-08 10:01:01,028	[basepage.py:36]	打开网页https://www.imymac.com/faqs/
INFO	2022-06-08 10:01:01,248	[basepage.py:96]	点击元素：('css', 'div.faq-list>div:nth-child(1)>p:nth-child(4)')
INFO	2022-06-08 10:01:01,758	[basepage.py:199]	页面滚到元素('css', '#record')
INFO	2022-06-08 10:01:03,041	[basepage.py:81]	输入文本：admin
INFO	2022-06-08 10:01:03,291	[basepage.py:81]	输入文本：123@125.com_
INFO	2022-06-08 10:01:03,557	[basepage.py:81]	输入文本：test
INFO	2022-06-08 10:01:03,611	[basepage.py:96]	点击元素：('css', '#record-suggest>a')
INFO	2022-06-08 10:01:03,638	[basepage.py:156]	获取到class元素的值==》record-suggest-name
INFO	2022-06-08 10:01:03,651	[basepage.py:156]	获取到class元素的值==》record-suggest-email record-error
INFO	2022-06-08 10:01:03,665	[basepage.py:156]	获取到class元素的值==》record-suggest-content
INFO	2022-06-08 10:01:03,671	[basepage.py:329]	预期结果: record-suggest-name,实际结果: record-suggest-name, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:03,672	[basepage.py:329]	预期结果: record-suggest-email record-error,实际结果: record-suggest-email record-error, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:03,672	[basepage.py:329]	预期结果: record-suggest-content,实际结果: record-suggest-content, 断言方法：eq, 断言结果：True
